Pedigree	Year	Genotype	Plant	Locule_count_fruit_1	Locule_count_fruit_2	Locule_count_fruit_3	Locule_count_fruit_4	Locule_count_fruit_5	Locule_count_fruit_6	Locule_count_fruit_7	Locule_count_fruit_8	Locule_count_fruit_9	Locule_count_fruit_10	Locule_count_fruit_11	Locule_count_fruit_12	Locule_count_fruit_13	Locule_count_fruit_14	Locule_count_fruit_15	Locule_count_fruit_16	Locule_count_fruit_17	Locule_count_fruit_18	Locule_count_fruit_19	Locule_count_fruit_20	Average_locule_count
1401	2022	ANG_1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1401	2022	ANG_1	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1401	2022	ANG_1	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1235	2022	Solanum_aethiopicum_SC102	3	6	10	8	9	8	7	9	8	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5
1194	2022	Solanum_aethiopicum_PI_441879	4	7	8	10	11	9	8	9	8	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.4
1216	2022	Solanum_aethiopicum_PI_441899	5	8	11	7	8	7	13	7	8	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.3
1214	2022	Solanum_aethiopicum_PI_441898	4	7	9	7	9	9	8	11	9	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.2
1194	2022	Solanum_aethiopicum_PI_441879	1	8	8	9	8	8	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.142857143
1214	2022	Solanum_aethiopicum_PI_441898	5	10	6	6	9	10	7	6	10	9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
1194	2022	Solanum_aethiopicum_PI_441879	2	7	7	8	7	10	8	8	9	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7
1214	2022	Solanum_aethiopicum_PI_441898	7	7	6	8	7	8	6	9	10	9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7
